sample_id,filename,channel,min,max,mean,original_length
ksas_m0_p15_d,0-15-d.csv,game_rot_vec_z,-0.018,0.008,-0.004560975609756097,41
ksas_m0_p15_d,0-15-d.csv,magn_field_x,-28.799,-24.858,-27.007121951219517,41
ksas_m0_p15_d,0-15-d.csv,magn_field_y,-11.847,-7.259,-10.037170731707315,41
ksas_m0_p15_d,0-15-d.csv,magn_field_z,-30.18,-26.122,-27.918512195121952,41
ksas_m0_p15_i,0-15-i.csv,accelerometer_x,-5.552,-4.207,-4.696574999999998,40
ksas_m0_p15_i,0-15-i.csv,accelerometer_y,-3.426,-2.672,-3.107875000000001,40
ksas_m0_p15_i,0-15-i.csv,accelerometer_z,7.477,8.648,7.83635,40
ksas_m0_p15_i,0-15-i.csv,gravity_x,-4.821,-4.581,-4.719225000000001,40
ksas_m0_p15_i,0-15-i.csv,gravity_y,-3.249,-2.724,-3.1305500000000004,40
ksas_m0_p15_i,0-15-i.csv,gravity_z,7.925,8.201,8.004100000000001,40
ksas_m0_p15_i,0-15-i.csv,gyros_x,-0.146,0.082,-0.022975000000000006,40
ksas_m0_p15_i,0-15-i.csv,gyros_y,-0.207,0.124,-0.04895000000000001,40
ksas_m0_p15_i,0-15-i.csv,gyros_z,-0.128,0.098,-0.003274999999999999,40
ksas_m0_p15_i,0-15-i.csv,lin_accel_x,-0.844,0.33,-0.023949999999999992,40
ksas_m0_p15_i,0-15-i.csv,lin_accel_y,-0.407,0.363,-0.04047499999999998,40
ksas_m0_p15_i,0-15-i.csv,lin_accel_z,-0.456,0.31,-0.07354999999999999,40
ksas_m0_p15_i,0-15-i.csv,game_rot_vec_x,-0.165,0.0,-0.15447499999999997,40
ksas_m0_p15_i,0-15-i.csv,game_rot_vec_y,0.0,0.264,0.252325,40
ksas_m0_p15_i,0-15-i.csv,game_rot_vec_z,-0.043,0.0,-0.03525,40
ksas_m0_p15_i,0-15-i.csv,magn_field_x,5.986,10.211,8.8277,40
ksas_m0_p15_i,0-15-i.csv,magn_field_y,-6.313,-1.628,-3.7718,40
ksas_m0_p15_i,0-15-i.csv,magn_field_z,-40.39,-37.206,-38.96072500000001,40
ksas_m0_p16_d,0-16-d.csv,accelerometer_x,3.579,6.977,5.230099999999999,30
ksas_m0_p16_d,0-16-d.csv,accelerometer_y,-3.989,-2.193,-2.9088666666666674,30
ksas_m0_p16_d,0-16-d.csv,accelerometer_z,6.651,9.596,7.701866666666667,30
ksas_m0_p16_d,0-16-d.csv,gravity_x,4.121,5.842,5.144000000000001,30
ksas_m0_p16_d,0-16-d.csv,gravity_y,-3.863,-2.503,-3.187066666666667,30
ksas_m0_p16_d,0-16-d.csv,gravity_z,6.913,8.537,7.659833333333335,30
ksas_m0_p16_d,0-16-d.csv,gyros_x,-0.118,0.497,0.1772,30
ksas_m0_p16_d,0-16-d.csv,gyros_y,-0.931,0.201,-0.4983666666666666,30
ksas_m0_p16_d,0-16-d.csv,gyros_z,0.141,0.909,0.6503666666666665,30
ksas_m0_p16_d,0-16-d.csv,lin_accel_x,-0.861,1.313,0.3755333333333333,30
ksas_m0_p16_d,0-16-d.csv,lin_accel_y,-1.033,1.246,0.22986666666666664,30
ksas_m0_p16_d,0-16-d.csv,lin_accel_z,-1.081,0.804,-0.38063333333333343,30
ksas_m0_p16_d,0-16-d.csv,game_rot_vec_x,-0.139,0.0,-0.12216666666666667,30
ksas_m0_p16_d,0-16-d.csv,game_rot_vec_y,-0.364,0.0,-0.2941333333333333,30
ksas_m0_p16_d,0-16-d.csv,game_rot_vec_z,0.0,0.236,0.13596666666666665,30
ksas_m0_p16_d,0-16-d.csv,magn_field_x,-35.376,-24.466,-30.80416666666666,30
ksas_m0_p16_d,0-16-d.csv,magn_field_y,-11.383,0.215,-6.935033333333334,30
ksas_m0_p16_d,0-16-d.csv,magn_field_z,-30.673,-18.604,-24.494833333333336,30
ksas_m0_p16_i,0-16-i.csv,accelerometer_x,-6.953,-6.455,-6.738464285714287,28
ksas_m0_p16_i,0-16-i.csv,accelerometer_y,-3.029,-2.181,-2.5105,28
ksas_m0_p16_i,0-16-i.csv,accelerometer_z,4.808,9.793,6.563285714285715,28
ksas_m0_p16_i,0-16-i.csv,gravity_x,-7.024,-6.331,-6.735857142857142,28
ksas_m0_p16_i,0-16-i.csv,gravity_y,-2.702,-2.31,-2.4748928571428572,28
ksas_m0_p16_i,0-16-i.csv,gravity_z,6.287,7.125,6.677892857142856,28
ksas_m0_p16_i,0-16-i.csv,gyros_x,-0.039,0.079,0.03442857142857145,28
ksas_m0_p16_i,0-16-i.csv,gyros_y,-0.054,0.302,0.10825,28
ksas_m0_p16_i,0-16-i.csv,gyros_z,-0.238,0.001,-0.0959285714285714,28
ksas_m0_p16_i,0-16-i.csv,lin_accel_x,-0.291,0.223,-0.038535714285714284,28
ksas_m0_p16_i,0-16-i.csv,lin_accel_y,-0.287,0.318,-0.008642857142857136,28
ksas_m0_p16_i,0-16-i.csv,lin_accel_z,-0.816,0.093,-0.29450000000000004,28
ksas_m0_p16_i,0-16-i.csv,game_rot_vec_x,-0.12,0.0,-0.11196428571428571,28
ksas_m0_p16_i,0-16-i.csv,game_rot_vec_y,0.0,0.406,0.3694285714285715,28
ksas_m0_p16_i,0-16-i.csv,game_rot_vec_z,-0.073,0.0,-0.05085714285714286,28
ksas_m0_p16_i,0-16-i.csv,magn_field_x,14.001,17.461,15.926964285714288,28
